Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2025-07-20,14:25:00,NEWTON ABBOT,Sergeant Fury,2m1f, ,2.0,,0.7174631
2025-07-20,14:25:00,NEWTON ABBOT,Gore Point,2m1f, ,2.75,,0.5585958
2025-07-20,14:25:00,NEWTON ABBOT,Bobbys Fortune,2m1f, ,4.5,,0.52194124
2025-07-20,14:57:00,NEWTON ABBOT,Dignam,2m1f, ,1.73,,0.78247744
2025-07-20,14:57:00,NEWTON ABBOT,Lord,2m1f, ,4.5,,0.48470685
2025-07-20,14:57:00,NEWTON ABBOT,Manyana Blue,2m1f, ,8.0,,0.20877932
2025-07-20,14:57:00,NEWTON ABBOT,Green Asset,2m1f, ,8.0,,0.17152701
2025-07-20,14:57:00,NEWTON ABBOT,Its Life,2m1f, ,15.0,,0.19265738
2025-07-20,15:32:00,NEWTON ABBOT,Backinaction,3m2f, ,2.25,,0.777216
2025-07-20,15:32:00,NEWTON ABBOT,My Girl Katie,3m2f, ,2.75,,0.43749645
2025-07-20,15:32:00,NEWTON ABBOT,Great DAnge,3m2f, ,7.0,,0.4354603
2025-07-20,15:32:00,NEWTON ABBOT,Invictus Allen,3m2f, ,9.0,,0.25638863
2025-07-20,15:32:00,NEWTON ABBOT,Testflight,3m2f, ,13.0,,0.2924625
2025-07-20,16:07:00,NEWTON ABBOT,Sassified,2m2½f, ,4.0,,0.65792245
2025-07-20,16:07:00,NEWTON ABBOT,Zufal,2m2½f, ,34.0,,0.012991103
2025-07-20,16:07:00,NEWTON ABBOT,Sonic Gold,2m2½f, ,34.0,,0.011910548
2025-07-20,16:07:00,NEWTON ABBOT,Colonel Lesley,2m2½f, ,5.0,,0.40071446
2025-07-20,16:07:00,NEWTON ABBOT,Square Du Roule,2m2½f, ,6.5,,0.3246168
2025-07-20,16:07:00,NEWTON ABBOT,Karannelle,2m2½f, ,7.5,,0.13464038
2025-07-20,16:07:00,NEWTON ABBOT,Never Seen Again,2m2½f, ,7.5,,0.22775643
2025-07-20,16:07:00,NEWTON ABBOT,Charlie My Boy,2m2½f, ,9.0,,0.3432725
2025-07-20,16:07:00,NEWTON ABBOT,Stinginhisstep,2m2½f, ,10.0,,0.058333542
2025-07-20,16:07:00,NEWTON ABBOT,Masonbrook Meadow,2m2½f, ,21.0,,0.004095872
2025-07-20,16:07:00,NEWTON ABBOT,Outback Frontiers,2m2½f, ,26.0,,0.011852205
2025-07-20,16:07:00,NEWTON ABBOT,Polly Pi,2m2½f, ,26.0,,0.00623141
2025-07-20,16:42:00,NEWTON ABBOT,Spitalfield,3m2½f, ,2.75,,0.7290491
2025-07-20,16:42:00,NEWTON ABBOT,Impecunious,3m2½f, ,4.0,,0.5960894
2025-07-20,16:42:00,NEWTON ABBOT,Dear Ralphy,3m2½f, ,6.0,,0.4151644
2025-07-20,16:42:00,NEWTON ABBOT,Halifax,3m2½f, ,6.0,,0.46626982
2025-07-20,16:42:00,NEWTON ABBOT,Sams Amour,3m2½f, ,7.0,,0.33751675
2025-07-20,16:42:00,NEWTON ABBOT,Dorrells Pierji,3m2½f, ,26.0,,0.115597114
2025-07-20,16:42:00,NEWTON ABBOT,Pirates Tale,3m2½f, ,34.0,,0.022575676
2025-07-20,17:17:00,NEWTON ABBOT,La Quarite,2m5f, ,3.75,,0.70327276
2025-07-20,17:17:00,NEWTON ABBOT,Mersey Street,2m5f, ,4.0,,0.6322206
2025-07-20,17:17:00,NEWTON ABBOT,Imperial Measure,2m5f, ,5.5,,0.3957333
2025-07-20,17:17:00,NEWTON ABBOT,Catboy,2m5f, ,7.0,,0.08910148
2025-07-20,17:17:00,NEWTON ABBOT,Ryders Rock,2m5f, ,8.0,,0.13760515
2025-07-20,17:17:00,NEWTON ABBOT,Sevenofus,2m5f, ,11.0,,0.09645305
2025-07-20,17:17:00,NEWTON ABBOT,Firefly Lane,2m5f, ,13.0,,0.1498413
2025-07-20,17:17:00,NEWTON ABBOT,Believe Jack,2m5f, ,21.0,,0.012453406
2025-07-14,14:20:00,NEWTON ABBOT,Breaking Cover,2m2½f,1,2.75,2.75,0.69671327
2025-07-14,14:20:00,NEWTON ABBOT,Three Pikes,2m2½f,2,3.25,3.55,0.5922949
2025-07-14,14:20:00,NEWTON ABBOT,Roadshow,2m2½f,3,4.0,4.6,0.38941586
2025-07-14,14:20:00,NEWTON ABBOT,Ensured,2m2½f,PU,8.0,9.54,0.337087
2025-07-14,14:20:00,NEWTON ABBOT,Old Bridge,2m2½f,4,21.0,20.0,0.18439044
2025-07-14,14:20:00,NEWTON ABBOT,Lucky In Taipan,2m2½f,PU,201.0,405.97,0.0048297974
2025-07-14,14:50:00,NEWTON ABBOT,Centara,2m½f,1,1.91,1.97,0.84092444
2025-07-14,14:50:00,NEWTON ABBOT,Jet Of Dreams,2m½f,2,4.5,5.48,0.40660346
2025-07-14,14:50:00,NEWTON ABBOT,Magistrato,2m½f,5,5.0,5.8,0.31995374
2025-07-14,14:50:00,NEWTON ABBOT,The Gypsy Davey,2m½f,4,11.0,12.47,0.35557392
