Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2025-07-20,14:25:00,NEWTON ABBOT,Sergeant Fury,2m1f, ,2.0,,0.62658787
2025-07-20,14:25:00,NEWTON ABBOT,Gore Point,2m1f, ,2.75,,0.4771751
2025-07-20,14:25:00,NEWTON ABBOT,Bobbys Fortune,2m1f, ,4.5,,0.5339998
2025-07-20,14:57:00,NEWTON ABBOT,Dignam,2m1f, ,1.73,,0.6989556
2025-07-20,14:57:00,NEWTON ABBOT,Lord,2m1f, ,4.5,,0.57095015
2025-07-20,14:57:00,NEWTON ABBOT,Manyana Blue,2m1f, ,8.0,,0.24706972
2025-07-20,14:57:00,NEWTON ABBOT,Green Asset,2m1f, ,8.0,,0.10475743
2025-07-20,14:57:00,NEWTON ABBOT,Its Life,2m1f, ,15.0,,0.10853932
2025-07-20,15:32:00,NEWTON ABBOT,Backinaction,3m2f, ,2.25,,0.827533
2025-07-20,15:32:00,NEWTON ABBOT,My Girl Katie,3m2f, ,2.75,,0.6975839
2025-07-20,15:32:00,NEWTON ABBOT,Great DAnge,3m2f, ,7.0,,0.41034594
2025-07-20,15:32:00,NEWTON ABBOT,Invictus Allen,3m2f, ,9.0,,0.19352514
2025-07-20,15:32:00,NEWTON ABBOT,Testflight,3m2f, ,13.0,,0.23745312
2025-07-20,16:07:00,NEWTON ABBOT,Sassified,2m2½f, ,4.0,,0.55449355
2025-07-20,16:07:00,NEWTON ABBOT,Sonic Gold,2m2½f, ,34.0,,0.083004326
2025-07-20,16:07:00,NEWTON ABBOT,Zufal,2m2½f, ,34.0,,0.09391785
2025-07-20,16:07:00,NEWTON ABBOT,Colonel Lesley,2m2½f, ,5.0,,0.55108577
2025-07-20,16:07:00,NEWTON ABBOT,Square Du Roule,2m2½f, ,6.5,,0.1971154
2025-07-20,16:07:00,NEWTON ABBOT,Karannelle,2m2½f, ,7.5,,0.42648515
2025-07-20,16:07:00,NEWTON ABBOT,Never Seen Again,2m2½f, ,7.5,,0.24571662
2025-07-20,16:07:00,NEWTON ABBOT,Charlie My Boy,2m2½f, ,9.0,,0.41174138
2025-07-20,16:07:00,NEWTON ABBOT,Stinginhisstep,2m2½f, ,10.0,,0.061247855
2025-07-20,16:07:00,NEWTON ABBOT,Masonbrook Meadow,2m2½f, ,21.0,,0.018491123
2025-07-20,16:07:00,NEWTON ABBOT,Outback Frontiers,2m2½f, ,26.0,,0.024483157
2025-07-20,16:07:00,NEWTON ABBOT,Polly Pi,2m2½f, ,26.0,,0.022424066
2025-07-20,16:42:00,NEWTON ABBOT,Spitalfield,3m2½f, ,2.75,,0.6827718
2025-07-20,16:42:00,NEWTON ABBOT,Impecunious,3m2½f, ,4.0,,0.5503739
2025-07-20,16:42:00,NEWTON ABBOT,Dear Ralphy,3m2½f, ,6.0,,0.48789766
2025-07-20,16:42:00,NEWTON ABBOT,Halifax,3m2½f, ,6.0,,0.3456299
2025-07-20,16:42:00,NEWTON ABBOT,Sams Amour,3m2½f, ,7.0,,0.24931292
2025-07-20,16:42:00,NEWTON ABBOT,Dorrells Pierji,3m2½f, ,26.0,,0.06100983
2025-07-20,16:42:00,NEWTON ABBOT,Pirates Tale,3m2½f, ,34.0,,0.024925798
2025-07-20,17:17:00,NEWTON ABBOT,La Quarite,2m5f, ,3.75,,0.7887099
