Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability,Race_ID,Predicted_Rank,Top_3_Flag,Odds_To_Use,Expected_Value,Field_Size,Kelly_Fraction,Reject_Reason,Winrate_Threshold,Bet_Placed,Stake,Actual_Result,Bet_Return,Bankroll_After_Race
2023-05-20,16:25:00,NEWMARKET,Divya,1m4f,3.0,10.0,11.09,0.11353048160101291,2023-05-20_16:25:00,4.0,False,10.0,0.135304816010129,6,0.015033868445569889,kelly_low|,0,False,100.0,0,0.0,11099.788604613614
2023-05-20,16:25:00,NEWMARKET,Climate Friendly,1m4f,1.0,13.0,15.17,0.16397061997660478,2023-05-20_16:25:00,3.0,True,13.0,1.131618059695862,6,0.09430150497465517,odds_high|,0,False,100.0,1,0.0,11099.788604613614
2023-06-23,19:05:00,NEWMARKET,Mighty River,1m2f,1.0,5.5,6.58,0.1703515505348574,2023-06-23_19:05:00,3.0,True,5.5,-0.0630664720582843,7,-0.014014771568507623,kelly_low|ev_low|,0,False,100.0,1,0.0,10899.788604613614
2023-06-23,19:05:00,NEWMARKET,Feud,1m2f,4.0,11.0,13.86,0.1643770518924042,2023-06-23_19:05:00,4.0,False,11.0,0.8081475708164461,7,0.08081475708164461,odds_high|,0,False,100.0,0,0.0,10899.788604613614
2023-06-23,20:10:00,NEWMARKET,American Belle,7f,4.0,4.6,4.61,0.1715294115155625,2023-06-23_20:10:00,3.0,True,4.6,-0.21096470702841252,6,-0.05860130750789237,kelly_low|ev_low|,0,False,100.0,0,0.0,10899.788604613614
2023-06-23,20:10:00,NEWMARKET,Jumbeau,7f,2.0,6.5,7.85,0.15232200620697092,2023-06-23_20:10:00,4.0,False,6.5,-0.009906959654689018,6,-0.0018012653917616396,kelly_low|ev_low|,0,False,100.0,0,0.0,10899.788604613614
2023-06-23,20:45:00,NEWMARKET,Four Adaay,5f,1.0,1.67,1.78,0.20048383868304703,2023-06-23_20:45:00,3.0,True,1.67,-0.6651919893993115,4,-0.9928238647750919,kelly_low|ev_low|,0,False,100.0,1,0.0,10899.788604613614
2023-06-23,20:45:00,NEWMARKET,Amor De Mi Vida,5f,2.0,7.5,8.38,0.06548412601392012,2023-06-23_20:45:00,4.0,False,7.5,-0.5088690548955992,4,-0.07828754690701525,kelly_low|ev_low|,0,False,100.0,0,0.0,10899.788604613614
2023-06-24,13:32:00,NEWMARKET,Ben Y Bryn,7f,4.0,34.0,45.14,0.034684561370382616,2023-06-24_13:32:00,4.0,False,34.0,0.17927508659300884,5,0.0054325783816063285,kelly_low|odds_high|,0,False,100.0,0,0.0,10799.788604613614
2023-06-24,14:42:00,NEWMARKET,Snipers Eye,1m,2.0,9.0,11.0,0.11789989040235234,2023-06-24_14:42:00,3.0,True,9.0,0.061099013621171094,6,0.007637376702646387,kelly_low|ev_low|,0,False,100.0,0,0.0,10799.788604613614
